state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
Germany,Latvia,DEU,LVA,51,9,57,25,Germany-Latvia,2
United Kingdom,Thailand,GBR,THA,54,-2,15,100,United Kingdom-Thailand,28
Japan,Thailand,JPN,THA,36,138,15,100,Japan-Thailand,7
Hungary,Bulgaria,HUN,BGR,47,20,43,25,Hungary-Bulgaria,45
Hungary,Romania,HUN,ROU,47,20,46,25,Hungary-Romania,46
Italy,Bulgaria,ITA,BGR,42.83333333,12.83333333,43,25,Italy-Bulgaria,1
Bulgaria,Japan,BGR,JPN,43,25,36,138,Bulgaria-Japan,1
Romania,Japan,ROU,JPN,46,25,36,138,Romania-Japan,2
Australia,New Zealand,AUS,NZL,-27,133,-41,174,Australia-New Zealand,68
Mauritania,Somalia,MRT,SOM,20,-12,10,49,Mauritania-Somalia,39
Mauritania,Djibouti,MRT,DJI,20,-12,11.5,43,Mauritania-Djibouti,38
Mauritania,Morocco,MRT,MAR,20,-12,32,-5,Mauritania-Morocco,76
Mauritania,Algeria,MRT,DZA,20,-12,28,3,Mauritania-Algeria,71
Mauritania,Tunisia,MRT,TUN,20,-12,34,9,Mauritania-Tunisia,71
Mauritania,Libya,MRT,LBY,20,-12,25,17,Mauritania-Libya,64
Mauritania,Sudan,MRT,SDN,20,-12,15,30,Mauritania-Sudan,40
Mauritania,Iraq,MRT,IRQ,20,-12,33,44,Mauritania-Iraq,40
Mauritania,Egypt,MRT,EGY,20,-12,27,30,Mauritania-Egypt,31
Mauritania,Lebanon,MRT,LBN,20,-12,33.83333333,35.83333333,Mauritania-Lebanon,40
Mauritania,Jordan,MRT,JOR,20,-12,31,36,Mauritania-Jordan,40
Mauritania,Saudi Arabia,MRT,SAU,20,-12,25,45,Mauritania-Saudi Arabia,40
Mauritania,Yemen,MRT,YEM,20,-12,15,48,Mauritania-Yemen,23
Mauritania,Kuwait,MRT,KWT,20,-12,29.5,45.75,Mauritania-Kuwait,40
Mauritania,Qatar,MRT,QAT,20,-12,25.5,51.25,Mauritania-Qatar,40
Mauritania,United Arab Emirates,MRT,ARE,20,-12,24,54,Mauritania-United Arab Emirates,40
Mauritania,Oman,MRT,OMN,20,-12,21,57,Mauritania-Oman,40
Somalia,Djibouti,SOM,DJI,10,49,11.5,43,Somalia-Djibouti,38
Somalia,Morocco,SOM,MAR,10,49,32,-5,Somalia-Morocco,78
Somalia,Algeria,SOM,DZA,10,49,28,3,Somalia-Algeria,78
Somalia,Tunisia,SOM,TUN,10,49,34,9,Somalia-Tunisia,78
Somalia,Libya,SOM,LBY,10,49,25,17,Somalia-Libya,78
Somalia,Sudan,SOM,SDN,10,49,15,30,Somalia-Sudan,78
Somalia,Iraq,SOM,IRQ,10,49,33,44,Somalia-Iraq,78
Somalia,Egypt,SOM,EGY,10,49,27,30,Somalia-Egypt,60
Somalia,Lebanon,SOM,LBN,10,49,33.83333333,35.83333333,Somalia-Lebanon,78
Somalia,Jordan,SOM,JOR,10,49,31,36,Somalia-Jordan,78
Somalia,Saudi Arabia,SOM,SAU,10,49,25,45,Somalia-Saudi Arabia,78
Somalia,Yemen,SOM,YEM,10,49,15,48,Somalia-Yemen,46
Somalia,Kuwait,SOM,KWT,10,49,29.5,45.75,Somalia-Kuwait,78
Somalia,Qatar,SOM,QAT,10,49,25.5,51.25,Somalia-Qatar,78
Somalia,United Arab Emirates,SOM,ARE,10,49,24,54,Somalia-United Arab Emirates,78
Somalia,Oman,SOM,OMN,10,49,21,57,Somalia-Oman,39
Djibouti,Morocco,DJI,MAR,11.5,43,32,-5,Djibouti-Morocco,38
Djibouti,Algeria,DJI,DZA,11.5,43,28,3,Djibouti-Algeria,38
Djibouti,Tunisia,DJI,TUN,11.5,43,34,9,Djibouti-Tunisia,38
Djibouti,Libya,DJI,LBY,11.5,43,25,17,Djibouti-Libya,38
Djibouti,Sudan,DJI,SDN,11.5,43,15,30,Djibouti-Sudan,38
Djibouti,Iraq,DJI,IRQ,11.5,43,33,44,Djibouti-Iraq,38
Djibouti,Egypt,DJI,EGY,11.5,43,27,30,Djibouti-Egypt,29
Djibouti,Lebanon,DJI,LBN,11.5,43,33.83333333,35.83333333,Djibouti-Lebanon,38
Djibouti,Jordan,DJI,JOR,11.5,43,31,36,Djibouti-Jordan,38
Djibouti,Saudi Arabia,DJI,SAU,11.5,43,25,45,Djibouti-Saudi Arabia,38
Djibouti,Yemen,DJI,YEM,11.5,43,15,48,Djibouti-Yemen,23
Djibouti,Kuwait,DJI,KWT,11.5,43,29.5,45.75,Djibouti-Kuwait,38
Djibouti,Qatar,DJI,QAT,11.5,43,25.5,51.25,Djibouti-Qatar,38
Djibouti,United Arab Emirates,DJI,ARE,11.5,43,24,54,Djibouti-United Arab Emirates,38
Djibouti,Oman,DJI,OMN,11.5,43,21,57,Djibouti-Oman,38
Morocco,Algeria,MAR,DZA,32,-5,28,3,Morocco-Algeria,131
Morocco,Tunisia,MAR,TUN,32,-5,34,9,Morocco-Tunisia,131
Morocco,Libya,MAR,LBY,32,-5,25,17,Morocco-Libya,131
